# scenario=haptic-endstops
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.270989,1.36064,4.18802,1.38517,-0.00418802,0.00735848,-0.0528791,-0.0555566
0.271989,1.36525,4.24769,1.38946,-0.00424769,0.0072655,-0.0536325,-0.0562002
0.272989,1.36985,4.31542,1.39375,-0.00431542,0.00716983,-0.0544877,-0.0564059
0.273989,1.37445,4.39217,1.39802,-0.00439217,0.00707156,-0.0554567,-0.0541221
0.274989,1.37905,4.47109,1.40229,-0.00447109,0.00697067,-0.0564531,-0.0547654
0.27599,1.38365,4.55449,1.40654,-0.0045545,0.00686706,-0.0575062,-0.0543736
0.27699,1.38672,4.16257,1.41079,-0.00416257,0.00722104,-0.0525577,-0.0551779
0.27799,1.39132,4.25266,1.41503,-0.00425266,0.00711211,-0.0536952,-0.0555212
0.27899,1.39593,4.34589,1.41926,-0.00434589,0.00700049,-0.0548723,-0.053459
0.27999,1.40053,4.43696,1.42348,-0.00443696,0.00688623,-0.0560222,-0.0542716
0.28099,1.4036,4.07591,1.42769,-0.00407591,0.00722941,-0.0514635,-0.0540092
0.281991,1.4082,4.16503,1.4319,-0.00416503,0.00710971,-0.0525887,-0.0550141
0.282991,1.4128,4.28127,1.43609,-0.00428127,0.0069873,-0.0540565,-0.0525741
0.283991,1.4174,4.38932,1.44028,-0.00438932,0.0068622,-0.0554206,-0.0535972
0.284991,1.42047,4.04078,1.44445,-0.00404078,0.00719447,-0.0510199,-0.0535083
0.285991,1.42507,4.16285,1.44862,-0.00416285,0.0070639,-0.0525613,-0.0542496
0.286991,1.42967,4.27967,1.45278,-0.00427967,0.00693054,-0.0540362,-0.0525143
0.287992,1.43428,4.41335,1.45692,-0.00441335,0.00679446,-0.0557241,-0.0523928
0.288992,1.43734,4.0585,1.46106,-0.0040585,0.00711576,-0.0512437,-0.0536952
