# scenario=haptic-curves
theta,free,spring,damped,detents12,detents_smooth,endstops
-2.63894,0,0.1,0,0.0083776,0.0100366,0.1
-2.6358,0,0.1,0,0.00712094,0.00863282,0.1
-2.63265,0,0.1,0,0.00586429,0.00718007,0.1
-2.62951,0,0.1,0,0.00460773,0.0056866,0.1
-2.62637,0,0.1,0,0.00335107,0.00416074,0.1
-2.62323,0,0.1,0,0.00209441,0.00261117,0.1
-2.62009,0,0.1,0,0.000837755,0.00104675,0.1
-2.61695,0,0.1,0,-0.000418901,-0.000523535,0.1
-2.61381,0,0.1,0,-0.00167546,-0.00209077,0.1
-2.61066,0,0.1,0,-0.00293212,-0.0036462,0.1
-2.60752,0,0.1,0,-0.00418878,-0.00518099,0.1
-2.60438,0,0.1,0,-0.00544543,-0.00668633,0.1
-2.60124,0,0.1,0,-0.00670209,-0.00815361,0.1
-2.5981,0,0.1,0,-0.00795875,-0.00957456,0.1
-2.59496,0,0.1,0,-0.00921531,-0.010941,0.1
-2.59181,0,0.1,0,-0.010472,-0.0122455,0.1
-2.58867,0,0.1,0,-0.0117286,-0.0134803,0.1
-2.58553,0,0.1,0,-0.0129853,-0.0146385,0.1
-2.58239,0,0.1,0,-0.0142419,-0.0157136,0.1
-2.57925,0,0.1,0,-0.0154986,-0.0166993,0.1
-2.57611,0,0.1,0,-0.0167552,-0.0175901,0.1
-2.57296,0,0.1,0,-0.0180118,-0.0183811,0.1
-2.56982,0,0.1,0,-0.0192685,-0.0190675,0.1
-2.56668,0,0.1,0,-0.0205251,-0.0196456,0.1
-2.56354,0,0.1,0,-0.0217817,-0.0201121,0.1
-2.5604,0,0.1,0,-0.0230383,-0.0204643,0.1
-2.55726,0,0.1,0,-0.0242949,-0.0207002,0.1
-2.55412,0,0.1,0,-0.0255516,-0.0208185,0.1
-2.55097,0,0.1,0,-0.0268082,-0.0208185,0.1
-2.54783,0,0.1,0,-0.0280649,-0.0207002,0.1
-2.54469,0,0.1,0,-0.0293215,-0.0204643,0.1
-2.54155,0,0.1,0,-0.0305782,-0.0201121,0.1
-2.53841,0,0.1,0,-0.0318347,-0.0196457,0.1
-2.53527,0,0.1,0,-0.0330914,-0.0190676,0.1
-2.53212,0,0.1,0,-0.0343481,-0.0183811,0.1
-2.52898,0,0.1,0,-0.0356047,-0.0175902,0.1
-2.52584,0,0.1,0,-0.0368614,-0.0166993,0.1
-2.5227,0,0.1,0,-0.038118,-0.0157136,0.1
-2.51956,0,0.1,0,-0.0393746,-0.0146386,0.1
-2.51642,0,0.1,0,-0.0406312,-0.0134804,0.1
-2.51327,0,0.1,0,-0.0418879,-0.0122456,0.1
-2.51013,0,0.1,0,-0.0431446,-0.0109411,0.1
-2.50699,0,0.1,0,-0.0444012,-0.00957457,0.1
-2.50385,0,0.1,0,-0.0456579,-0.00815362,0.1
-2.50071,0,0.1,0,-0.0469144,-0.00668642,0.1
-2.49757,0,0.1,0,-0.0481711,-0.00518107,0.1
